experiment_name,experiment_id,decision_number,control_timestamp,sensor_timestamp,elapsed_minutes_from_random_start,strategy_day,control_strategy,logical_flap_state,top_inside,top_outside,bottom_inside,bottom_outside,command_sent,decision_reason,is_daytime,temp_difference_black_globe_minus_outdoor_C,radiation_above_threshold,black_globe_hotter_than_outdoor,radiation_threshold_W_m2,temp_difference_threshold_C,PCM_OC25_TEMP_C,PCM_OC17_TEMP_C,TOP_INBOUND_AIR_TEMP_1_C,TOP_INBOUND_AIR_TEMP_2_C,TOP_OUTBOUND_AIR_TEMP_1_C,TOP_OUTBOUND_AIR_TEMP_2_C,BOTTOM_INBOUND_AIR_TEMP_1_C,BOTTOM_INBOUND_AIR_TEMP_2_C,BOTTOM_OUTBOUND_AIR_TEMP_1_C,BOTTOM_OUTBOUND_AIR_TEMP_2_C,REFERENCE_AIR_TEMP_RTD_C,TROMBE_WALL_SURFACE_TEMP_C,CEILING_SURFACE_TEMP_C,LEFT_WALL_SURFACE_TEMP_C,RIGHT_WALL_SURFACE_TEMP_C,REAR_WALL_SURFACE_TEMP_C,FLOOR_SURFACE_TEMP_C,BLACK_GLOBE_TEMP_C,INDOOR_AIR_TEMP_ANALOG_C,INDOOR_RELATIVE_HUMIDITY_ANALOG_PERCENT,OUTDOOR_AIR_TEMP_C,OUTDOOR_RELATIVE_HUMIDITY_PERCENT,SOLAR_RADIATION_VERTICAL_W_M2,INDOOR_TEMP_ANALOG_VOLTAGE_V,INDOOR_RH_ANALOG_VOLTAGE_V,OUTDOOR_TEMP_VOLTAGE_V,OUTDOOR_RH_VOLTAGE_V,PYRANOMETER_VOLTAGE_V,CONDENSATION_DETECTED,CONDENSATION_STATUS
Weekend_Heatwave_June2026,WHJ2026,1,2026-06-26T15:07:10,2026-06-26T13:07:01.725Z,-1012.82,WAITING,SAFE_WAITING,ALL_CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,TRUE,WAITING_FOR_RANDOM_START,TRUE,-11.868,TRUE,FALSE,150,1,23.529,24.198,28.251,28.379,29.821,29.526,27.861,27.56,30.358,28.838,26.888,23.369,23.706,23.438,23.477,23.52,23.316,26.852,30.97,45.01,38.72,21.55,501.42,6.097,4.501,6.872,2.155,3.582,0,dry
Weekend_Heatwave_June2026,WHJ2026,2,2026-06-26T15:17:10,2026-06-26T13:17:08.712Z,-1002.82,WAITING,SAFE_WAITING,ALL_CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,FALSE,NO_CHANGE_WAITING_FOR_RANDOM_START,TRUE,-12.346,TRUE,FALSE,150,1,23.579,24.296,28.363,28.526,29.932,29.608,27.946,27.619,30.476,28.861,26.947,23.412,23.765,23.487,23.529,23.572,23.379,26.904,31.08,45.03,39.25,21.03,487.54,6.108,4.503,6.925,2.103,3.482,0,dry
Weekend_Heatwave_June2026,WHJ2026,3,2026-06-26T15:27:10,2026-06-26T13:27:08.760Z,-992.82,WAITING,SAFE_WAITING,ALL_CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,FALSE,NO_CHANGE_WAITING_FOR_RANDOM_START,TRUE,-12.017,TRUE,FALSE,150,1,23.631,24.398,28.458,28.625,29.906,29.719,28.038,27.678,30.594,28.897,27,23.461,23.824,23.536,23.588,23.621,23.428,26.963,31.06,44.95,38.98,20.9,490.23,6.106,4.495,6.898,2.09,3.502,0,dry
Weekend_Heatwave_June2026,WHJ2026,4,2026-06-26T15:37:10,2026-06-26T13:37:08.797Z,-982.82,WAITING,SAFE_WAITING,ALL_CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,FALSE,NO_CHANGE_WAITING_FOR_RANDOM_START,TRUE,-12.554,TRUE,FALSE,150,1,23.68,24.493,28.549,28.779,29.87,29.795,28.123,27.727,30.689,28.982,27.058,23.513,23.883,23.588,23.638,23.68,23.477,27.016,31.4,45.18,39.57,20.45,486.04,6.14,4.518,6.957,2.045,3.472,0,dry
Weekend_Heatwave_June2026,WHJ2026,5,2026-06-26T15:47:10,2026-06-26T13:47:08.889Z,-972.82,WAITING,SAFE_WAITING,ALL_CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,FALSE,NO_CHANGE_WAITING_FOR_RANDOM_START,TRUE,-12.202,TRUE,FALSE,150,1,23.733,24.594,28.644,28.871,29.811,29.844,28.215,27.786,30.784,29.061,27.121,23.562,23.942,23.647,23.69,23.733,23.529,27.068,31.56,45.28,39.27,21.19,517.08,6.156,4.528,6.927,2.119,3.693,0,dry
Weekend_Heatwave_June2026,WHJ2026,6,2026-06-26T15:57:10,2026-06-26T13:57:10.072Z,-962.82,WAITING,SAFE_WAITING,ALL_CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,FALSE,NO_CHANGE_WAITING_FOR_RANDOM_START,TRUE,-13.343,TRUE,FALSE,150,1,23.782,24.686,28.726,28.998,29.844,29.939,28.3,27.855,30.912,29.129,27.18,23.615,24.001,23.706,23.749,23.792,23.588,27.127,31.71,45.41,40.47,20.02,504.84,6.171,4.541,7.047,2.002,3.606,0,dry
Weekend_Heatwave_June2026,WHJ2026,7,2026-06-26T16:07:10,2026-06-26T14:07:09.025Z,-952.82,WAITING,SAFE_WAITING,ALL_CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,FALSE,NO_CHANGE_WAITING_FOR_RANDOM_START,TRUE,-12.63,TRUE,FALSE,150,1,23.834,24.788,28.812,29.093,29.939,30.027,28.389,27.91,30.928,29.205,27.232,23.664,24.06,23.756,23.798,23.841,23.638,27.19,31.87,45.43,39.82,21.55,505.08,6.187,4.543,6.982,2.155,3.608,0,dry
Weekend_Heatwave_June2026,WHJ2026,8,2026-06-26T16:17:10,2026-06-26T14:17:09.079Z,-942.82,WAITING,SAFE_WAITING,ALL_CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,FALSE,NO_CHANGE_WAITING_FOR_RANDOM_START,TRUE,-11.711,TRUE,FALSE,150,1,23.893,24.883,28.887,29.113,30.008,30.06,28.464,27.969,30.945,29.221,27.291,23.716,24.119,23.808,23.867,23.9,23.697,27.239,32.02,45.53,38.95,21.97,528.85,6.202,4.553,6.895,2.197,3.778,0,dry
Weekend_Heatwave_June2026,WHJ2026,9,2026-06-26T16:27:10,2026-06-26T14:27:09.138Z,-932.82,WAITING,SAFE_WAITING,ALL_CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,FALSE,NO_CHANGE_WAITING_FOR_RANDOM_START,TRUE,-11.842,TRUE,FALSE,150,1,23.952,24.975,28.966,29.172,30.103,30.129,28.549,28.028,31.03,29.198,27.35,23.775,24.172,23.867,23.916,23.952,23.756,27.298,32.21,45.61,39.14,21.99,522.64,6.221,4.561,6.914,2.199,3.733,0,dry
Weekend_Heatwave_June2026,WHJ2026,10,2026-06-26T16:37:10,2026-06-26T14:37:09.199Z,-922.82,WAITING,SAFE_WAITING,ALL_CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,FALSE,NO_CHANGE_WAITING_FOR_RANDOM_START,TRUE,-12.233,TRUE,FALSE,150,1,24.001,25.07,29.034,29.3,30.188,30.204,28.625,28.081,31.079,29.198,27.409,23.824,24.231,23.926,23.985,24.018,23.808,27.357,32.36,45.71,39.59,21.2,510.8,6.236,4.571,6.959,2.12,3.649,0,dry
